     1,  1,    1,A1                  ,     3.0,  0
     2,  1,    3,C1                  ,     3.0,  0
     2,  2,    3,C1                  ,    50.0,  1
     3,  1,    4,G1                  ,     0.0,  0
     3,  2,    4,G1                  ,     3.0,  2
     4,  1,    2,A2                  ,    50.0,  0
     4,  2,    2,A2                  ,     3.0,  0
     4,  3,    2,A2                  ,     3.0,  0
     4,  4,    2,A2                  ,     3.0,  0
     5,  1,    7,G3a                 ,     3.0,  0
     5,  2,    7,G3a                 ,     3.0,  0
