   0,26-0001   ,AA工事                                                                                              ,                                                                                                    ,26-0001             ,阪和興業株式会社                                                                                    ,株式会社　カルテック                                                                                ,basyo-A                                                                                             ,2026/03/02          ,2026/03/02 13:43:09 ,                                                                                                    ,持田                ,福田                ,  0
   0,26-0002   ,123456789A123456789B123456789C123456789D123456789E                                                  ,                                                                                                    ,26-0002             ,order-B                                                                                             ,向け先-B                                                                                            ,場所-B                                                                                              ,2026/03/01          ,2026/03/02 13:43:52 ,                                                                                                    ,AA                  ,aa                  ,  0
   0,26-0003   ,テスト物件　新築工事　[26-0003]　Ａ工区（１節）                                                     ,                                                                                                    ,26-0003             ,阪和興業株式会社                                                                                    ,株式会社カルテック                                                                                  ,島根県出雲市塩冶町1225-39　コニシビル                                                               ,2026/03/12          ,2026/03/12 14:33:11 ,CCC                                                                                                 ,BB                  ,bb                  ,  0
   0,25-1050   ,テスト物件　○○○二丁目△△地区再開発事業新築工事(1節)                                             ,                                                                                                    ,25-1050             ,阪和興業株式会社                                                                                    ,株式会社 テスト鉄工所                                                                               ,同上持込渡し                                                                                        ,2026/03/31          ,2026/03/31 13:10:34 ,                                                                                                    ,CC                  ,cc                  ,  0
   0,25-2057   ,テスト物件　□□□地区新庁舎建設工事                                                                ,                                                                                                    ,25-2057             ,株式会社＊＊＊鉄工                                                                                  ,※※※株式会社                                                                                      ,同上                                                                                                ,2026/04/08          ,2026/04/08 17:06:44 ,                                                                                                    ,DD                  ,dd                  ,  0
   0,26-0005   ,斜め鋼材テスト                                                                                      ,                                                                                                    ,26-0005             ,株式会社○○○金属                                                                                  ,株式会社カルテック                                                                                  ,現場                                                                                                ,2026/05/19          ,2026/05/19 11:57:28 ,                                                                                                    ,mochida             ,fukuda              ,  0
   0,26-1000   ,test                                                                                                ,                                                                                                    ,26-1000             ,株式会社△△△△                                                                                    ,株式会社○○○○                                                                                    ,aaa                                                                                                 ,2026/07/06          ,2026/07/06 11:35:48 ,                                                                                                    ,fukuda              ,mochida             ,  0
   0,26-0714   ,QA.11　テスト工事                                                                                   ,                                                                                                    ,26-0714             ,神栄鉄鋼株式会社                                                                                    ,株式会社カルテック                                                                                  ,同じ                                                                                                ,2026/07/14          ,2026/07/14 08:25:15 ,                                                                                                    ,佐藤                ,山田                ,  0
   0,26-9052   ,26-1052 テストデータ                                                                                ,                                                                                                    ,26-9052             ,神栄鉄鋼株式会社                                                                                    ,株式会社　カルテック                                                                                ,同上                                                                                                ,2026/07/13          ,2026/07/13 10:12:56 ,                                                                                                    ,福田                ,持田                ,  0
   0,26-9058   ,QA.32　三星                                                                                         ,                                                                                                    ,26-9058             ,神栄鉄鋼株式会社                                                                                    ,株式会社　カルテック                                                                                ,同上                                                                                                ,2026/07/15          ,2026/07/15 08:39:21 ,                                                                                                    ,持田                ,持田                ,  0
   0,26-1077   ,(仮称)青山ビル建替計画(A工区)(5節)                                                                  ,                                                                                                    ,26-1077             ,阪和興業株式会社                                                                                    ,株式会社 永井製作所                                                                                 ,同上                                                                                                ,2026/10/01          ,2026/07/16 11:40:55 ,                                                                                                    ,長谷中              ,山下                ,  0
