 1,  1,    905A-1    ,ëÂòaâ^óAÅ@0001                ,–≈ƒ◊≤›Å@1010                  ,    9062.0,   1746900,                    ,2026/05/29          ,                    
 2,  1,    1,ç|çﬁ                ,  1,  0,    1,SS400     ,   30,BÅ†       ,6000      ,6000      ,220       ,220       ,0         ,0         ,BÅ†-600x600x22x22   ,    0,                    ,  5000.0,    1,  1995.0,       100,    199500,TK1                 
 2,  2,    1,ç|çﬁ                ,  2,  0,    1,SS400     ,   30,BÅ†       ,5000      ,5000      ,280       ,280       ,0         ,0         ,BÅ†-500x500x28x28   ,    0,                    ,  5000.0,    4,  2075.0,       110,    913000,C4                  
 2,  3,    1,ç|çﬁ                ,  5,  0,    1,SS400     ,   30,BÅ†       ,3000      ,3000      ,240       ,240       ,0         ,0         ,BÅ†-300x300x24x24   ,    0,                    ,  7000.0,    1,  1456.0,       120,    174720,C1                  
 2,  4,    1,ç|çﬁ                ,  6,  0,    1,SS400     ,    4,BH        ,10000     ,6000      ,240       ,280       ,0         ,0         ,BH-1000x600x24x28   ,    0,                    ,  8000.0,    1,  3536.0,       130,    459680,G3                  
 1,  2,    905A-2    ,èoâ_â^óAÅ@0002                ,≤Ωﬁ”◊≤›Å@1020                 ,    4328.5,   2279530,                    ,2026/06/01          ,                    
 2,  1,    1,ç|çﬁ                ,  3,  0,    1,SS400     ,    4,BH        ,12000     ,3000      ,240       ,280       ,0         ,0         ,BH-1200x300x24x28   ,    0,                    ,  5000.0,    5,  1735.0,       200,   1735000,G1                  
 2,  2,    1,ç|çﬁ                ,  4,  0,    1,SS400     ,   30,BÅ†       ,6000      ,6000      ,220       ,220       ,0         ,0         ,BÅ†-600x600x22x22   ,    0,                    ,  6500.0,    1,  2593.5,       210,    544530,TK2                 
 1,  3,    905A-3    ,ìáç™â^ëóÅ@0003                ,ºœ»◊≤›Å@1030                  ,    4070.0,   3171500,                    ,2026/05/29          ,                    
 2,  1,    1,ç|çﬁ                ,  1,  0,    1,SS400     ,   30,BÅ†       ,6000      ,6000      ,220       ,220       ,0         ,0         ,BÅ†-600x600x22x22   ,    0,                    ,  5000.0,    1,  1995.0,       300,    598500,TK1                 
 2,  2,    1,ç|çﬁ                ,  2,  0,    1,SS400     ,   30,BÅ†       ,5000      ,5000      ,280       ,280       ,0         ,0         ,BÅ†-500x500x28x28   ,    0,                    ,  5000.0,    4,  2075.0,       310,   2573000,C4                  
