     1,  1,    7,TK1                 ,    20.0,  0
     1,  2,    7,TK1                 ,    20.0,  1
     1,  3,    7,TK1                 ,    20.0,  2
     1,  5,   13,TK4                 ,    20.0,  2
     1,  6,   13,TK4                 ,    20.0,  0
     1,  8,   12,TK3                 ,    20.0,  0
     1,  9,   12,TK3                 ,    20.0,  0
     1, 10,   12,TK3                 ,    20.0,  0
     5,  1,    4,C4                  ,   100.0,  0
     5,  2,    4,C4                  ,   100.0,  0
     6,  1,    9,G1                  ,   200.0,  0
     6,  2,    9,G1                  ,    50.0,  0
     9,  1,    8,TK2                 ,   100.0,  0
     9,  2,    8,TK2                 ,    50.0,  0
     9,  3,    8,TK2                 ,    50.0,  0
     9,  4,    8,TK2                 ,    50.0,  0
     9,  5,    8,TK2                 ,    50.0,  0
     9,  6,    8,TK2                 ,    50.0,  0
     9,  7,    8,TK2                 ,    50.0,  0
     9,  8,    8,TK2                 ,    50.0,  0
    10,  1,    1,C1                  ,   100.0,  0
    10,  2,    2,C2                  ,    20.0,  0
    10,  3,    1,C1                  ,   100.0,  0
    10,  4,    2,C2                  ,    20.0,  0
    10,  5,    1,C1                  ,   100.0,  0
    10,  6,    2,C2                  ,    20.0,  0
    14,  1,   11,G3                  ,   100.0,  2
    14,  2,   11,G3                  ,    80.0,  0
    14,  3,   11,G3                  ,    80.0,  2
    14,  4,   11,G3                  ,    80.0,  0
    14,  5,   11,G3                  ,    80.0,  2
    15,  1,   14,A1                  ,     3.0,  2
    15,  2,   15,A2                  ,     3.0,  0
    15,  3,   14,A1                  ,     3.0,  2
    15,  4,   14,A1                  ,     3.0,  0
    15,  5,   15,A2                  ,     3.0,  2
    15,  6,   15,A2                  ,     3.0,  0
    16,  1,   16,K-1CX6Y15-3         ,     3.0,  0
    16,  2,   17,K-1CX6Y15-2         ,     4.0,  0
    16,  3,   18,K-1CX6Y15-1         ,     4.0,  0
