     1,  1,    3,G1                  ,    30.0,  0
     2,  1,    4,G2                  ,    30.0,  0
     3,  1,    2,C3                  ,    30.0,  0
     4,  1,    1,C2                  ,    30.0,  2
     4,  2,    1,C2                  ,    30.0,  0
     5,  1,    7,G4                  ,    30.0,  0
     5,  2,    6,G3                  ,    30.0,  0
     6,  1,   15,G5                  ,    30.0,  0
     6,  2,   15,G5                  ,    50.0,  1
     7,  1,   13,B1                  ,    30.0,  2
     7,  2,   13,B1                  ,    30.0,  0
     7,  3,   13,B1                  ,    30.0,  1
     7,  4,   13,B1                  ,    30.0,  3
