     1,  1,    2,5CC6-8-A            ,    35.0,  0
     1,  2,    3,5CC6-8-1            ,     3.0,  0
     2,  1,    4,5CC6-10-A           ,    35.0,  0
     2,  2,    5,5CC6-10-1           ,     3.0,  0
     3,  1,    6,5CC6-9-L1           ,    34.0,  0
     4,  1,    7,5CC6-9-R1           ,    34.0,  0
     5,  1,    8,5CC7-11-LB          ,    40.0,  0
     5,  2,    9,5CC7-11-LA          ,     3.0,  0
     5,  3,   10,5CC7-11-L1          ,     3.0,  0
     6,  1,   11,5CC7-11-RB          ,    40.0,  0
     6,  2,   12,5CC7-11-RA          ,     3.0,  0
     6,  3,   13,5CC7-11-R1          ,     3.0,  0
     7,  1,    1,5CC7-12-B           ,    38.0,  0
     7,  2,   14,5CC7-12-A           ,     3.0,  0
     7,  3,   15,5CC7-12-1           ,     3.0,  0
